filename,width,height,class,xmin,ymin,xmax,ymax
6.jpg,960,720,name,197,172,257,204
6.jpg,960,720,nation,108,205,159,234
6.jpg,960,720,id,462,241,508,272
6.jpg,960,720,add,111,268,168,298
6.jpg,960,720,come_time,136,299,154,324
6.jpg,960,720,out_time,127,326,150,349
6.jpg,960,720,diagnostic,143,350,191,379
6.jpg,960,720,solution,201,408,238,436
6.jpg,960,720,note,100,437,148,464
6.jpg,960,720,job,506,209,563,238
6.jpg,960,720,birth,595,183,628,206
6.jpg,960,720,sex,820,187,862,210
6.jpg,960,720,name,258,173,296,205
6.jpg,960,720,name,295,174,333,206
6.jpg,960,720,id,507,243,532,272
6.jpg,960,720,id,530,242,568,272
6.jpg,960,720,id,562,243,600,273
6.jpg,960,720,id,597,243,635,273
6.jpg,960,720,id,636,242,694,272
6.jpg,960,720,id,695,243,753,273
6.jpg,960,720,add,170,267,232,296
6.jpg,960,720,add,231,267,268,296
6.jpg,960,720,add,268,267,305,296
6.jpg,960,720,add,305,265,350,294
6.jpg,960,720,add,348,266,386,295
6.jpg,960,720,add,386,267,431,297
6.jpg,960,720,add,432,268,467,297
6.jpg,960,720,add,466,269,514,298
6.jpg,960,720,add,514,270,547,297
6.jpg,960,720,add,543,273,570,299
6.jpg,960,720,add,571,274,616,301
6.jpg,960,720,come_time,155,300,188,323
6.jpg,960,720,come_time,185,300,211,323
6.jpg,960,720,come_time,212,300,253,323
6.jpg,960,720,come_time,255,301,277,323
6.jpg,960,720,come_time,276,300,323,323
6.jpg,960,720,come_time,324,301,347,323
6.jpg,960,720,come_time,347,300,381,323
6.jpg,960,720,come_time,380,300,424,324
6.jpg,960,720,out_time,151,326,179,348
6.jpg,960,720,out_time,179,325,205,348
6.jpg,960,720,out_time,206,323,250,349
6.jpg,960,720,out_time,251,324,271,350
6.jpg,960,720,out_time,271,324,314,348
6.jpg,960,720,out_time,314,325,339,350
6.jpg,960,720,out_time,340,325,375,350
6.jpg,960,720,out_time,374,324,418,350
6.jpg,960,720,diagnostic,189,351,230,380
6.jpg,960,720,diagnostic,229,351,257,380
6.jpg,960,720,diagnostic,258,351,288,380
6.jpg,960,720,diagnostic,289,351,333,380
6.jpg,960,720,diagnostic,335,352,357,379
6.jpg,960,720,diagnostic,358,350,383,378
6.jpg,960,720,diagnostic,384,350,425,378
6.jpg,960,720,diagnostic,425,349,447,379
6.jpg,960,720,diagnostic,448,347,504,378
6.jpg,960,720,diagnostic,504,350,541,378
6.jpg,960,720,diagnostic,544,348,591,378
6.jpg,960,720,diagnostic,592,349,631,376
6.jpg,960,720,diagnostic,632,350,654,378
6.jpg,960,720,diagnostic,654,351,691,378
6.jpg,960,720,diagnostic,690,350,720,376
6.jpg,960,720,diagnostic,720,350,757,375
6.jpg,960,720,diagnostic,756,349,793,374
6.jpg,960,720,diagnostic,796,350,841,377
6.jpg,960,720,diagnostic,840,350,867,376
6.jpg,960,720,diagnostic,869,350,914,377
6.jpg,960,720,diagnostic,16,379,65,406
6.jpg,960,720,diagnostic,66,380,144,407
6.jpg,960,720,diagnostic,144,381,194,404
6.jpg,960,720,diagnostic,194,381,228,403
6.jpg,960,720,diagnostic,228,381,260,404
6.jpg,960,720,diagnostic,262,383,307,403
6.jpg,960,720,diagnostic,306,381,348,405
6.jpg,960,720,diagnostic,349,381,381,406
6.jpg,960,720,diagnostic,381,380,417,405
6.jpg,960,720,diagnostic,418,379,454,404
6.jpg,960,720,solution,237,407,285,432
6.jpg,960,720,note,146,437,194,464
6.jpg,960,720,note,193,435,230,465
6.jpg,960,720,note,229,435,266,465
9.jpg,960,720,name,226,151,263,181
9.jpg,960,720,birth,644,148,673,179
9.jpg,960,720,sex,781,152,823,178
9.jpg,960,720,nation,169,178,218,204
9.jpg,960,720,job,520,180,563,203
9.jpg,960,720,id,408,204,457,233
9.jpg,960,720,add,143,230,170,254
9.jpg,960,720,come_time,67,282,169,309
9.jpg,960,720,out_time,202,281,224,314
9.jpg,960,720,diagnostic,435,347,458,377
9.jpg,960,720,solution,219,410,267,438
9.jpg,960,720,note,131,433,175,465
9.jpg,960,720,name,261,151,311,179
9.jpg,960,720,name,313,151,390,180
9.jpg,960,720,job,563,181,609,203
9.jpg,960,720,job,607,180,632,202
9.jpg,960,720,job,630,180,683,204
9.jpg,960,720,id,458,203,488,235
9.jpg,960,720,id,488,204,518,236
9.jpg,960,720,id,521,204,551,236
9.jpg,960,720,id,554,204,619,233
9.jpg,960,720,id,621,204,723,234
9.jpg,960,720,add,169,231,201,253
9.jpg,960,720,add,201,233,257,254
9.jpg,960,720,add,257,233,288,255
9.jpg,960,720,add,289,233,329,256
9.jpg,960,720,add,328,231,358,256
9.jpg,960,720,add,406,232,467,259
9.jpg,960,720,add,355,229,401,254
9.jpg,960,720,add,467,233,514,260
9.jpg,960,720,add,513,233,547,261
9.jpg,960,720,add,547,233,589,260
9.jpg,960,720,out_time,224,282,253,315
9.jpg,960,720,out_time,253,282,273,317
9.jpg,960,720,out_time,274,281,306,316
9.jpg,960,720,out_time,307,282,344,315
9.jpg,960,720,out_time,344,282,365,315
9.jpg,960,720,out_time,365,280,408,312
9.jpg,960,720,out_time,409,280,428,314
9.jpg,960,720,out_time,429,280,463,312
9.jpg,960,720,out_time,462,282,506,311
9.jpg,960,720,diagnostic,459,349,489,376
9.jpg,960,720,diagnostic,489,348,525,378
9.jpg,960,720,diagnostic,526,347,554,376
9.jpg,960,720,diagnostic,557,349,591,378
9.jpg,960,720,solution,268,410,308,438
9.jpg,960,720,solution,307,409,355,442
9.jpg,960,720,solution,355,406,419,443
9.jpg,960,720,solution,418,407,445,442
9.jpg,960,720,solution,446,408,473,443
9.jpg,960,720,note,177,433,197,465
9.jpg,960,720,note,198,433,225,463
9.jpg,960,720,note,224,433,243,463
9.jpg,960,720,note,244,434,272,463
9.jpg,960,720,note,269,436,305,462
9.jpg,960,720,note,306,437,327,466
9.jpg,960,720,note,328,438,396,468
6.jpg,960,720,name,197,172,257,204
6.jpg,960,720,nation,108,205,159,234
6.jpg,960,720,id,462,241,508,272
6.jpg,960,720,add,111,268,168,298
6.jpg,960,720,come_time,136,299,154,324
6.jpg,960,720,out_time,127,326,150,349
6.jpg,960,720,diagnostic,143,350,191,379
6.jpg,960,720,solution,201,408,238,436
6.jpg,960,720,note,100,437,148,464
6.jpg,960,720,job,506,209,563,238
6.jpg,960,720,birth,595,183,628,206
6.jpg,960,720,sex,820,187,862,210
6.jpg,960,720,name,258,173,296,205
6.jpg,960,720,name,295,174,333,206
6.jpg,960,720,id,507,243,532,272
6.jpg,960,720,id,530,242,568,272
6.jpg,960,720,id,562,243,600,273
6.jpg,960,720,id,597,243,635,273
6.jpg,960,720,id,636,242,694,272
6.jpg,960,720,id,695,243,753,273
6.jpg,960,720,add,170,267,232,296
6.jpg,960,720,add,231,267,268,296
6.jpg,960,720,add,268,267,305,296
6.jpg,960,720,add,305,265,350,294
6.jpg,960,720,add,348,266,386,295
6.jpg,960,720,add,386,267,431,297
6.jpg,960,720,add,432,268,467,297
6.jpg,960,720,add,466,269,514,298
6.jpg,960,720,add,514,270,547,297
6.jpg,960,720,add,543,273,570,299
6.jpg,960,720,add,571,274,616,301
6.jpg,960,720,come_time,155,300,188,323
6.jpg,960,720,come_time,185,300,211,323
6.jpg,960,720,come_time,212,300,253,323
6.jpg,960,720,come_time,255,301,277,323
6.jpg,960,720,come_time,276,300,323,323
6.jpg,960,720,come_time,324,301,347,323
6.jpg,960,720,come_time,347,300,381,323
6.jpg,960,720,come_time,380,300,424,324
6.jpg,960,720,out_time,151,326,179,348
6.jpg,960,720,out_time,179,325,205,348
6.jpg,960,720,out_time,206,323,250,349
6.jpg,960,720,out_time,251,324,271,350
6.jpg,960,720,out_time,271,324,314,348
6.jpg,960,720,out_time,314,325,339,350
6.jpg,960,720,out_time,340,325,375,350
6.jpg,960,720,out_time,374,324,418,350
6.jpg,960,720,diagnostic,189,351,230,380
6.jpg,960,720,diagnostic,229,351,257,380
6.jpg,960,720,diagnostic,258,351,288,380
6.jpg,960,720,diagnostic,289,351,333,380
6.jpg,960,720,diagnostic,335,352,357,379
6.jpg,960,720,diagnostic,358,350,383,378
6.jpg,960,720,diagnostic,384,350,425,378
6.jpg,960,720,diagnostic,425,349,447,379
6.jpg,960,720,diagnostic,448,347,504,378
6.jpg,960,720,diagnostic,504,350,541,378
6.jpg,960,720,diagnostic,544,348,591,378
6.jpg,960,720,diagnostic,592,349,631,376
6.jpg,960,720,diagnostic,632,350,654,378
6.jpg,960,720,diagnostic,654,351,691,378
6.jpg,960,720,diagnostic,690,350,720,376
6.jpg,960,720,diagnostic,720,350,757,375
6.jpg,960,720,diagnostic,756,349,793,374
6.jpg,960,720,diagnostic,796,350,841,377
6.jpg,960,720,diagnostic,840,350,867,376
6.jpg,960,720,diagnostic,869,350,914,377
6.jpg,960,720,diagnostic,16,379,65,406
6.jpg,960,720,diagnostic,66,380,144,407
6.jpg,960,720,diagnostic,144,381,194,404
6.jpg,960,720,diagnostic,194,381,228,403
6.jpg,960,720,diagnostic,228,381,260,404
6.jpg,960,720,diagnostic,262,383,307,403
6.jpg,960,720,diagnostic,306,381,348,405
6.jpg,960,720,diagnostic,349,381,381,406
6.jpg,960,720,diagnostic,381,380,417,405
6.jpg,960,720,diagnostic,418,379,454,404
6.jpg,960,720,solution,237,407,285,432
6.jpg,960,720,note,146,437,194,464
6.jpg,960,720,note,193,435,230,465
6.jpg,960,720,note,229,435,266,465
4.jpg,960,720,name,271,171,324,205
4.jpg,960,720,birth,711,190,743,219
4.jpg,960,720,sex,906,192,951,224
4.jpg,960,720,nation,191,198,235,226
4.jpg,960,720,job,646,217,703,247
4.jpg,960,720,id,352,235,400,269
4.jpg,960,720,add,185,261,228,286
4.jpg,960,720,come_time,226,290,261,321
4.jpg,960,720,out_time,223,322,263,350
4.jpg,960,720,diagnostic,201,347,237,376
4.jpg,960,720,solution,294,382,355,410
4.jpg,960,720,name,323,173,371,209
4.jpg,960,720,name,373,176,444,212
4.jpg,960,720,birth,740,190,785,220
4.jpg,960,720,id,395,236,429,269
4.jpg,960,720,id,425,238,467,272
4.jpg,960,720,id,465,239,507,273
4.jpg,960,720,id,504,239,555,276
4.jpg,960,720,id,554,242,624,278
4.jpg,960,720,add,227,261,271,286
4.jpg,960,720,add,270,263,319,292
4.jpg,960,720,add,317,265,374,295
4.jpg,960,720,add,372,268,418,296
4.jpg,960,720,add,418,269,463,296
4.jpg,960,720,add,461,271,519,300
4.jpg,960,720,add,516,274,553,303
4.jpg,960,720,come_time,271,291,306,322
4.jpg,960,720,come_time,309,293,344,324
4.jpg,960,720,come_time,354,297,403,325
4.jpg,960,720,come_time,406,297,455,325
4.jpg,960,720,come_time,461,300,494,329
4.jpg,960,720,come_time,503,302,559,331
4.jpg,960,720,come_time,556,304,595,333
4.jpg,960,720,come_time,610,304,657,333
4.jpg,960,720,come_time,676,305,723,334
4.jpg,960,720,out_time,267,322,307,350
4.jpg,960,720,out_time,309,322,349,350
4.jpg,960,720,out_time,351,324,403,352
4.jpg,960,720,out_time,404,327,456,355
4.jpg,960,720,out_time,456,329,497,357
4.jpg,960,720,out_time,501,331,559,358
4.jpg,960,720,out_time,561,332,603,360
4.jpg,960,720,out_time,608,333,657,362
4.jpg,960,720,out_time,674,332,723,361
4.jpg,960,720,diagnostic,237,349,294,377
4.jpg,960,720,diagnostic,291,351,323,378
4.jpg,960,720,diagnostic,322,351,354,378
4.jpg,960,720,diagnostic,354,356,377,381
4.jpg,960,720,diagnostic,376,356,395,382
4.jpg,960,720,diagnostic,393,358,413,382
4.jpg,960,720,diagnostic,411,357,449,382
4.jpg,960,720,diagnostic,450,360,488,385
4.jpg,960,720,diagnostic,488,359,521,385
4.jpg,960,720,diagnostic,522,360,555,386
4.jpg,960,720,diagnostic,555,361,585,387
4.jpg,960,720,diagnostic,584,363,611,387
4.jpg,960,720,diagnostic,609,365,644,389
4.jpg,960,720,diagnostic,644,366,701,389
4.jpg,960,720,solution,352,384,400,412
4.jpg,960,720,solution,399,385,426,412
4.jpg,960,720,solution,426,386,468,414
4.jpg,960,720,solution,469,388,505,415
4.jpg,960,720,solution,509,389,545,416
4.jpg,960,720,solution,548,388,584,415
4.jpg,960,720,solution,582,391,607,418
4.jpg,960,720,solution,607,393,632,420
4.jpg,960,720,solution,631,392,670,420
4.jpg,960,720,nation,234,200,288,229
4.jpg,960,720,job,705,218,738,249
1.jpg,960,720,name,216,167,271,195
1.jpg,960,720,birth,617,165,646,195
1.jpg,960,720,nation,132,193,182,219
1.jpg,960,720,country,376,197,419,223
1.jpg,960,720,job,689,196,722,223
1.jpg,960,720,id,182,223,218,253
1.jpg,960,720,add,129,252,183,279
1.jpg,960,720,out_time,167,308,192,331
1.jpg,960,720,diagnostic,185,334,240,358
1.jpg,960,720,solution,235,382,266,409
1.jpg,960,720,note,134,409,183,434
1.jpg,960,720,sex,797,166,846,194
1.jpg,960,720,name,272,167,346,195
1.jpg,960,720,name,347,166,403,195
1.jpg,960,720,country,419,196,462,222
1.jpg,960,720,id,217,223,248,253
1.jpg,960,720,id,246,224,282,254
1.jpg,960,720,id,281,224,317,254
1.jpg,960,720,id,316,223,367,254
1.jpg,960,720,id,363,224,427,255
1.jpg,960,720,job,722,196,763,223
1.jpg,960,720,job,763,194,817,224
1.jpg,960,720,add,180,251,226,277
1.jpg,960,720,add,227,252,278,278
1.jpg,960,720,add,279,253,321,277
1.jpg,960,720,add,320,252,390,279
